Date,SP500,Dividend,Earnings,Real Price
1/1/2018,2789.8,49.29,111.7333333,3445.54
2/1/2018,2705.16,49.64,113.5866667,3325.92
3/1/2018,2702.77,50,115.44,3315.48
4/1/2018,2653.63,50.33,117.7866667,3242.32
5/1/2018,2701.49,50.66,120.1333333,3287.12
6/1/2018,2754.35,50.99,122.48,3346.11
7/1/2018,2793.64,51.44,125.1166667,3393.61
8/1/2018,2857.82,51.89,127.7533333,3469.65
9/1/2018,2901.5,52.34,130.39,3518.59
1/1/2018,2785.46,52.81,131.0566667,3371.91
11/1/2018,2723.23,53.28,131.7233333,3307.66
12/1/2018,2567.31,53.75,132.39,3128.27
1/1/2019,2607.39,54.15,133.0566667,3171.06
2/1/2019,2754.86,54.54,133.7233333,3336.31
3/1/2019,2803.98,54.94,134.39,3376.75
4/1/2019,2903.8,55.32,134.6833333,3478.54
5/1/2019,2854.71,55.7,134.9766667,3412.47
6/1/2019,2890.17,56.08,135.27,3454.17
7/1/2019,2996.113636,56.46,134.48,3574.81
8/1/2019,2897.498182,56.84,133.69,3457.32
9/1/2019,2982.156,57.22,132.9,3555.55
1/1/2019,2977.68,57.56,135.09,3542.12
11/1/2019,3104.9045,57.9,137.28,3695.44
12/1/2019,3176.749524,58.24,139.47,3784.39
1/1/2020,3278.202857,58.69,131.7566667,3890.16
2/1/2020,3277.314211,59.13,124.0433333,3878.47
3/1/2020,2652.393636,59.58,116.33,3145.77
4/1/2020,2761.975238,59.61,110.63,3297.79
5/1/2020,2919.615,59.65,104.93,3485.94
6/1/2020,3104.660909,59.68,99.23,3686.71
7/1/2020,3207.619091,59.4,98.89333333,3789.8
8/1/2020,3391.71,59.13,98.55666667,3994.7
9/1/2020,3365.516667,58.85,98.22,3958.34
1/1/2020,3418.701364,58.66,96.85666667,4019.23
11/1/2020,3548.9925,58.47,95.49333333,4174.95
12/1/2020,3695.31,58.28,94.13,4342.99
1/1/2021,3793.748421,58.06,105.4866667,4439.8
2/1/2021,3883.432105,57.85,116.8433333,4520.01
3/1/2021,3910.508261,57.63,128.2,4519.51
4/1/2021,4141.17619,57.71,138.3866667,4747.08
5/1/2021,4167.8495,57.79,148.5733333,4739.66
6/1/2021,4238.489545,57.87,158.76,4775.62
7/1/2021,4363.712857,58.33,164.3166667,4893.18
8/1/2021,4454.206364,58.79,169.8733333,4984.36
9/1/2021,4445.543333,59.25,175.43,4961.19
1/1/2021,4460.707143,59.64,182.91,4937.09
11/1/2021,4667.386667,60.02,190.39,5140.59
12/1/2021,4674.772727,60.4,197.87,5132.95
1/1/2022,4573.8155,60.92,197.8833333,4980.19
2/1/2022,4435.980526,61.45,197.8966667,4786.39
3/1/2022,4391.265217,61.97,197.91,4675.72
4/1/2022,4391.296,62.65,196.0266667,4649.79
5/1/2022,4040.36,63.34,194.1433333,4231.55
6/1/2022,3898.946667,64.02,192.26,4028.12
7/1/2022,3911.7295,64.45,190.5833333,4041.8
8/1/2022,4158.563043,64.89,188.9066667,4298.36
9/1/2022,3850.520476,65.32,187.23,3971.42
1/1/2022,3726.050952,65.85,182.4033333,3827.52
11/1/2022,3917.488571,66.39,177.5766667,4028.24
12/1/2022,3912.380952,66.92,172.75,4035.38
1/1/2023,3960.6565,67.35,173.5566667,4052.77
2/1/2023,4079.684737,67.78,174.3633333,4151.39
3/1/2023,3968.55913,68.21,175.17,4027.13
4/1/2023,4121.467368,68.38,177.17,4159.03
5/1/2023,4146.173182,68.54,179.17,4173.45
6/1/2023,4345.372857,68.71,181.17,4359.88
7/1/2023,4508.0755,0,0,4514.51
8/1/2023,4457.358696,0,0,4459.48
9/1/2023,4515.77,0,0,4515.77
