country,id,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,004,,,,,,,,,,,,,,,,,,,,,,,4367000000,4553000000,5146000000,6167000000,6925000000,8556000000,10297000000,12066000000,15325000000,17890000000,20293000000,20170000000,20616000000,20057000000,18020000000,18883000000,18336000000,18876000000,20136000000,14278000000,14501000000,17248000000,,,,,,,
Albania,008,1969000000,2256000000,2323000000,2347000000,2317000000,2366000000,2617000000,2597000000,2560000000,2812000000,2247000000,1349000000,853000000,1478000000,2389000000,2916000000,3238000000,2251000000,2585000000,3264000000,3529000000,3974000000,4408000000,5628000000,7263000000,8148000000,9002000000,10804000000,13035000000,12187000000,12079000000,13052000000,12470000000,12936000000,13404000000,11525000000,12003000000,13209000000,15337000000,15582000000,15271000000,18086000000,19185000000,23388000000,27259000000,28372000000,29743000000,31382000000,33354000000,35462000000,37683000000
Algeria,012,45957000000,48156000000,48599000000,51582000000,55906000000,66346000000,66783000000,68698000000,56070000000,57041000000,67171000000,50650000000,53414000000,55309000000,46044000000,45654000000,50945000000,52287000000,52297000000,53011000000,59418000000,59413000000,61516000000,73482000000,91914000000,107047000000,123084000000,142483000000,180384000000,150317000000,177785000000,218332000000,227144000000,229701000000,238943000000,187494000000,180764000000,190004000000,194507000000,193361000000,164774000000,185850000000,225709000000,247789000000,264913000000,268885000000,269435000000,274520000000,279983000000,285271000000,290941000000
Andorra,020,,,,,,,,,,,,,,,,,,,,,1429000000,1547000000,1758000000,2362000000,2896000000,3158000000,3456000000,3952000000,4082000000,3675000000,3446000000,3625000000,3189000000,3193000000,3267000000,2789000000,2895000000,2993000000,3217000000,3155000000,2885000000,3325000000,3376000000,3786000000,4038000000,4035000000,4169000000,4301000000,4438000000,4583000000,4732000000
Angola,024,8730000000,8170000000,8170000000,8514000000,9025000000,11119000000,10411000000,11900000000,12909000000,15017000000,16529000000,16022000000,12354000000,8966000000,6529000000,8148000000,10510000000,12344000000,10464000000,9895000000,12646000000,12378000000,17312000000,20342000000,26998000000,41397000000,58654000000,73038000000,98790000000,81705000000,95547000000,125552000000,143573000000,153761000000,164448000000,131661000000,114764000000,139835000000,114189000000,94671000000,66521000000,84375000000,142442000000,109764000000,115946000000,113343000000,109384000000,112743000000,118534000000,125036000000,132281000000
Antigua and Barbuda,028,132000000,149000000,166000000,185000000,212000000,246000000,298000000,347000000,411000000,455000000,479000000,504000000,525000000,566000000,625000000,616000000,679000000,734000000,790000000,836000000,901000000,878000000,898000000,948000000,1026000000,1144000000,1304000000,1487000000,1558000000,1387000000,1298000000,1287000000,1365000000,1325000000,1379000000,1437000000,1490000000,1535000000,1662000000,1726000000,1412000000,1602000000,1867000000,2006000000,2225000000,2373000000,2493000000,2606000000,2723000000,2846000000,2974000000
Argentina,032,233696000000,189802000000,94250000000,116267000000,130544000000,98599000000,118565000000,121561000000,142386000000,91352000000,158024000000,211979000000,255787000000,264429000000,287835000000,288497000000,304282000000,327436000000,334244000000,316998000000,317759000000,300421000000,112458000000,142431000000,164911000000,199273000000,232892000000,287921000000,363545000000,334633000000,424729000000,527644000000,579666000000,611471000000,563614000000,642464000000,556774000000,643861000000,524431000000,446762000000,385218000000,486040000000,632318000000,645511000000,632145000000,683533000000,715376000000,715766000000,712668000000,738395000000,776815000000
Armenia,051,,,,,,,,,,,,,108000000,835000000,648000000,1287000000,1597000000,1639000000,1892000000,1845000000,1912000000,2118000000,2376000000,2807000000,3577000000,4900000000,6384000000,9206000000,11662000000,8648000000,9260000000,10142000000,10619000000,11121000000,11610000000,10553000000,10546000000,11527000000,12458000000,13619000000,12642000000,13879000000,19514000000,24086000000,25533000000,26258000000,26681000000,27893000000,29523000000,31388000000,33319000000
Aruba,533,,,,,,,,,,,,,,,,1321000000,1380000000,1532000000,1665000000,1723000000,1873000000,1896000000,1962000000,2044000000,2255000000,2360000000,2470000000,2678000000,2843000000,2554000000,2454000000,2638000000,2615000000,2728000000,2791000000,2963000000,2984000000,3092000000,3276000000,3341000000,2486000000,2929000000,3279000000,3649000000,3952000000,4100000000,4286000000,4481000000,4643000000,4797000000,4957000000
Australia,036,162924000000,188410000000,187049000000,179478000000,197136000000,174385000000,181477000000,213100000000,271088000000,308402000000,324128000000,324436000000,318005000000,309303000000,353372000000,379227000000,424663000000,426401000000,381498000000,411968000000,400278000000,378114000000,425516000000,541155000000,658742000000,736505000000,783447000000,950093000000,1056559000000,1000828000000,1254623000000,1515507000000,1570139000000,1519900000000,1456939000000,1233921000000,1262655000000,1381110000000,1417162000000,1386277000000,1362613000000,1655843000000,1725461000000,1742461000000,1796805000000,1771681000000,1841002000000,1914821000000,1995441000000,2083608000000,2181788000000
